Algorithm,Total Combinations,Successful Combinations,Success Rate (%),Best Fitness,Mean Fitness,Std Fitness,Best Accuracy (%),Mean Accuracy (%)
GA,243,243,100.0,47.86881533333334,43.66992137722909,2.231796143621516,58.28373015873016,51.7585652230714
PSO,27,27,100.0,49.75489733333333,48.09452232098765,0.8344217093429992,56.15079365079365,52.73552322163433
SA,9,9,100.0,47.45371333333333,42.91657911111111,2.4108886552548303,52.529761904761905,47.33520723104056
